Year,State,TOT_POP,WHT,BLK,AI_ALSK,ASN,NH_PI,POV_AA,UN_EMP,TOT_POP_25,LESS_9,9_12_NO_D,HSC_EQU,SC_NO_D,ASSO,BACH,GRAD
2010,Alabama,4785579,3365673,1261274,32888,55701,5166,883078,231483,3161521,6.2,11.7,31.3,21.8,7.1,13.9,8
2010,Alaska,714015,485997,24637,106712,39334,7768,76850,28497,450577,2.8,6.1,25.3,29.6,8.2,18.5,9.4
2010,Arizona,6407002,5428232,282176,336625,189849,16188,1105075,320251,4146758,6.3,8.1,25.1,26.5,8.1,16.7,9.2
2010,Arkansas,2921737,2346175,455040,26248,37892,6798,529710,110842,1919422,6.3,10.7,34.6,22.5,6.3,13.2,6.3
2010,California,37327690,27674285,2486482,623224,5064237,182139,5785036,2244326,24097200,10.5,8.8,20.8,22.2,7.6,19.1,11
2010,Colorado,5048029,4465381,215964,78453,146121,8505,651744,238013,3328045,4.3,6.1,22.8,22.6,7.8,23.4,13
2010,Connecticut,3580171,2953268,393586,16843,141921,3512,348881,174263,2434383,4.6,6.8,28.2,17.7,7.1,20.2,15.3
2010,Delaware,899712,646382,197060,5923,29597,693,104456,36550,600779,3.8,8.5,32.7,20,7.2,16.5,11.3
2010,District of Columbia,605040,253474,311054,3278,21931,788,107279,65114,416824,4.7,7.9,20.3,13.8,3.2,23.2,26.9
2010,Florida,18846461,14833800,3091949,89349,477675,18896,3048621,1018407,13077179,5.7,8.8,29.9,21.2,8.6,16.6,9.2
2010,Georgia,9712696,6152808,3006099,48695,326769,10523,1698004,494624,6235623,5.8,9.9,29.3,21,6.8,17.5,9.8
2010,Hawaii,1363817,349544,22726,5034,532219,138837,146923,44967,926928,4.8,5.3,28.6,22.5,9.2,19.9,9.6
2010,Idaho,1570912,1478916,10984,25933,20122,2801,244009,68230,987829,4.2,7.5,28.6,27,8.3,16.7,7.7
2010,Illinois,12841196,10035362,1903928,73881,608264,7437,1732129,688274,8465762,5.6,7.5,27.6,21.3,7.2,19.2,11.5
2010,Indiana,6490029,5641364,605198,24523,106928,3535,960402,329584,4229798,4.2,8.8,36,20.9,7.5,14.6,8.1
2010,Iowa,3050223,2841632,92437,13712,54706,2456,368965,100834,2018785,3.9,5.5,33.7,21.8,10,17.1,7.9
2010,Kansas,2858403,2504408,173883,33130,70280,2867,374677,105806,1840681,4.4,6.4,27.8,24.2,7.4,19.3,10.5
2010,Kentucky,4347948,3869748,344511,12169,50770,3209,796208,209725,2903308,7.7,10.4,34.3,20.2,6.8,12.4,8.1
2010,Louisiana,4544871,2908026,1467778,33171,72513,2588,831512,166224,2945907,6.5,11.6,34.4,21,5.1,14.4,7
2010,Maine,1327568,1268687,16416,8776,13844,376,169076,56552,937014,3.6,6.1,34.4,20.1,9,17.3,9.5
2010,Maryland,5788099,3545496,1737551,30992,329633,5439,559937,235334,3873474,4.7,7.2,25.9,19.7,6.3,19.7,16.4
2010,Massachusetts,6564943,5533570,507729,30015,363302,5984,724845,289265,4458898,4.9,6,26.2,16.3,7.6,22.3,16.7
2010,Michigan,9876731,7941536,1414726,68524,244336,3459,1614110,604913,6569801,3.5,7.8,30.9,24.2,8.4,15.6,9.6
2010,Minnesota,5310711,4625331,282719,67754,219638,2990,595485,217601,3528096,3.3,4.9,27.3,22.7,10,21.5,10.3
2010,Mississippi,2970437,1790110,1105036,16835,26712,1693,644156,135729,1904406,6.6,12.4,30.6,22.5,8.4,12.4,7.1
2010,Missouri,5995681,5042312,701164,30737,101063,7244,888471,292949,3984849,4.4,8.7,31.9,22.6,6.8,16,9.5
2010,Montana,990507,892161,4236,63730,6466,736,146257,36527,672952,2.5,5.8,29.9,25.1,7.9,19.8,9
2010,Nebraska,1829956,1651450,86362,23675,33769,2090,224530,46038,1184379,4.1,5.6,28.3,24.4,9,19.6,9
2010,Nevada,2702797,2106203,231800,43037,204803,19311,393605,183804,1789530,6.3,9.1,29.7,26.2,7.1,14.3,7.4
2010,New Hampshire,1316700,1248090,16505,3540,29131,527,110096,43122,907755,2.8,5.8,29.8,18.9,10,20.4,12.4
2010,New Jersey,8803708,6548852,1284211,50040,751744,7765,883643,433875,5970904,5.4,6.5,29.5,17,6.2,22.1,13.3
2010,New Mexico,2064607,1724816,49273,209574,31486,3150,400779,75934,1341329,7.6,9.1,26.4,24.9,7,14.2,10.8
2010,New York,19405185,13908576,3385113,183407,1490871,24079,2840564,825639,13089848,7,8.1,27.7,16.4,8.2,18.6,14
2010,North Carolina,9574247,6923898,2096260,148031,218578,10390,1618597,501062,6325621,5.6,9.6,27.7,22,8.6,17.8,8.7
2010,North Dakota,674518,610440,8469,37150,7130,339,81176,14289,442946,4.9,4.7,27.1,24,11.7,19.7,7.9
2010,Ohio,11539282,9662231,1428486,29780,198494,5346,1771404,599836,7720849,3.3,8.6,35.2,20.5,7.8,15.7,8.9
2010,Oklahoma,3759529,2854872,285346,337403,67736,5460,613067,120146,2449213,4.6,9.2,32,24.5,6.8,15.4,7.5
2010,Oregon,3837073,3406695,74543,67041,146212,14752,596649,210963,2614886,4.1,7.2,25,27.2,7.8,18.3,10.5
2010,Pennsylvania,12711063,10663825,1435117,40085,361185,7183,1645097,540062,8654829,3.8,7.8,37.5,16.5,7.4,16.7,10.4
2010,Rhode Island,1053169,909957,75453,9273,31988,1611,143132,63488,709979,7.3,9.2,27.2,18.7,7.4,18.1,12.2
2010,South Carolina,4635834,3170735,1305331,24694,61968,3990,813939,240623,3074357,5.5,10.5,30.5,20.6,8.4,15.8,8.8
2010,South Dakota,816227,707991,10752,73017,7898,537,114798,21984,532379,4.7,5.7,31.6,21.7,10,18.6,7.7
2010,Tennessee,6355882,5061723,1070512,26357,94729,5451,1102643,298732,4242391,6.2,10.1,33.5,20.8,6.2,14.6,8.5
2010,Texas,25241648,20457286,3082882,251955,1011327,31515,4411273,997338,15772122,9.7,9.6,25.6,22.8,6.3,17.3,8.6
2010,Utah,2775260,2557055,34031,40899,58346,26220,362689,106283,1584824,3.1,6.3,24.5,27.8,9,19.9,9.4
2010,Vermont,625842,598504,6511,2319,8108,174,74720,21914,431042,3,5.9,31.5,17.6,8.3,20.3,13.3
2010,Virginia,8025206,5738448,1583805,41680,453654,8263,865746,297272,5361301,5.5,8,25.4,20.1,6.7,20.1,14.2
2010,Washington,6741386,5543875,253619,123388,495511,43854,890251,350782,4505657,4.1,6.1,23.8,25.5,9.4,19.9,11.1
2010,West Virginia,1854315,1747377,63999,3990,12766,482,327459,70215,1294747,6.1,10.7,41.6,18.3,5.8,10.9,6.6
2010,Wisconsin,5690403,5037641,367712,60404,132752,2527,731564,267119,3800295,3.5,6.4,33.3,21.1,9.3,17.4,9
2010,Wyoming,564376,529688,5174,14465,4669,518,62636,19553,370951,2.6,5.1,30.2,27.3,10.7,15.7,8.4
2011,Alabama,4798649,3368758,1266977,32798,57573,5036,896117,212257,3193078,5.6,11.7,30.9,22.2,7.4,13.9,8.4
2011,Alaska,722259,489400,25383,108060,40816,8131,76021,27752,456862,3.1,5.2,28.1,29.9,7.4,16.9,9.5
2011,Arizona,6465488,5462191,288742,341867,196703,16444,1201376,288547,4211223,6.2,8.1,24.6,26.2,8.3,17.1,9.5
2011,Arkansas,2938640,2355934,457718,26642,39749,7241,550079,113168,1943427,6.2,10,35.7,22,5.8,13.1,7.2
2011,California,37672654,27856325,2496077,626439,5178171,184724,6121726,2156967,24443872,10.3,8.6,21.1,22.1,7.7,19.2,11.1
2011,Colorado,5116411,4518943,219804,79742,150987,8784,669267,228814,3387310,4,5.8,22.4,22.8,8.3,23.3,13.4
2011,Connecticut,3591927,2952100,398515,17274,147365,3589,373284,168808,2444403,4.4,6.5,27.7,17.9,7.3,20.5,15.7
2011,Delaware,907884,649467,199995,5955,30897,702,111176,33260,611120,4.7,8.3,31.6,19.6,7,17.1,11.7
2011,District of Columbia,620336,263698,314201,3402,22944,837,111906,71214,428261,5.1,7.7,17.7,14.2,2.8,23.3,29.2
2011,Florida,19097369,14978909,3164040,91334,494404,19538,3178155,928904,13267581,5.6,8.4,30.4,20.8,8.9,16.5,9.3
2011,Georgia,9810595,6178692,3056241,48995,340739,10744,1836715,485449,6308961,5.8,9.8,29.3,20.8,6.7,17.7,9.8
2011,Hawaii,1378323,353118,24796,5157,534116,141036,161606,44934,939512,4.4,5,28.5,23,10,19.2,9.9
2011,Idaho,1583180,1488310,11510,26578,20704,2860,256257,63712,998460,4.5,6.9,27.5,26.9,8.9,17.5,7.8
2011,Illinois,12862298,10034662,1902252,73941,625999,7539,1871484,638527,8521694,5.6,7.2,27.6,21.3,7.3,19.3,11.7
2011,Indiana,6515358,5650465,611164,24831,112854,3633,1001053,290046,4255459,4.2,8.6,35.5,20.9,7.9,14.8,8.2
2011,Iowa,3063690,2846859,94833,14122,58163,2676,376300,92199,2027201,3.7,5.7,33.1,21.3,10.5,17.7,8.1
2011,Kansas,2868756,2509303,175015,33396,72754,2790,383859,97005,1852094,4.1,5.8,27.9,24.6,7.4,19.7,10.4
2011,Kentucky,4368505,3880364,349138,12248,53158,3247,809764,193482,2922350,7,10,34.1,20.9,7,12.3,8.8
2011,Louisiana,4574388,2918623,1480611,33677,75264,2674,910266,162196,2972737,6.1,11.4,34.5,21.7,5.2,14,7.1
2011,Maine,1327968,1267197,17176,8868,14341,392,183723,55196,942537,3.4,5.7,33.4,20.3,8.9,17.9,10.5
2011,Maryland,5843115,3562014,1758155,31402,342142,5523,581244,224477,3915657,4.3,6.9,25.8,19.9,6.3,20.4,16.5
2011,Massachusetts,6612178,5545808,520751,30533,378168,6094,740512,251554,4502048,5,5.8,25.9,16.4,7.8,22.3,16.8
2011,Michigan,9876199,7927668,1414357,69056,252645,3575,1687624,486815,6588324,3.5,7.7,30.8,23.9,8.4,15.7,9.9
2011,Minnesota,5345967,4636789,292000,69321,228796,3146,617185,191015,3560801,3.3,4.7,26.9,22.4,10.3,21.8,10.5
2011,Mississippi,2977452,1789748,1110268,16977,27544,1689,658232,134061,1912708,6.6,12.3,30.2,22.7,8.3,12.6,7.3
2011,Missouri,6010280,5046587,704152,31164,104370,7582,922103,258562,4008554,3.9,8.5,31.4,22.9,7.1,16.4,9.7
2011,Montana,996866,895793,4901,64722,6871,771,148183,34822,676793,2,5.7,30.5,25.1,8.4,19.6,8.6
2011,Nebraska,1841641,1658413,87782,24296,35216,2119,230003,44197,1196112,3.9,5.1,29,24.4,9.6,18.9,9.1
2011,Nevada,2718170,2108271,235680,43499,210811,19585,423195,178851,1810960,6.4,9.6,29.2,25.2,7.2,14.9,7.6
2011,New Hampshire,1318345,1247400,17082,3588,30336,553,114906,39770,914207,2.8,5.8,29.3,19.2,9.5,21,12.4
2011,New Jersey,8844694,6550029,1293048,50610,775813,8018,897916,426808,6004613,5.6,6.3,29.4,17.3,6.1,22,13.3
2011,New Mexico,2077744,1732010,49769,212834,32388,3230,427340,70051,1354186,7.3,9.6,26.6,23.6,7.5,14.4,11.1
